2024-12-08 23:16:45.506 | INFO     | __main__:run_server:295 - Starting MCP server basic-memory with database sqlite+aiosqlite:///./projects/basic-memory.db
2024-12-08 23:16:50.727 | DEBUG    | __main__:handle_list_tools:209 - Listing available tools
2024-12-08 23:16:50.742 | DEBUG    | __main__:handle_list_tools:247 - Returning 7 available tools
2024-12-08 23:16:51.711 | DEBUG    | __main__:handle_list_tools:209 - Listing available tools
2024-12-08 23:16:51.733 | DEBUG    | __main__:handle_list_tools:247 - Returning 7 available tools
2024-12-08 23:18:18.442 | DEBUG    | __main__:handle_call_tool:259 - Handling tool call: create_entities with args: {'entities': [{'name': 'First Light', 'entityType': 'milestone', 'observations': [{'content': 'Here marks the moment our knowledge graph takes root - where human creativity and AI capabilities join in genuine collaboration, each strengthening the other. May this be the first of many steps toward enhancing human agency through well-crafted tools.'}]}]}
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.repository:__init__:21 - Initialized EntityRepository for Entity
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.repository:__init__:22 - Valid columns: ['id', 'name', 'entity_type', 'description', 'references', 'created_at', 'updated_at']
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.repository.entity_repository:__init__:17 - Initialized EntityRepository
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.repository:__init__:21 - Initialized ObservationRepository for Observation
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.repository:__init__:22 - Valid columns: ['id', 'entity_id', 'content', 'created_at', 'context']
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.repository:__init__:21 - Initialized RelationRepository for Relation
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.repository:__init__:22 - Valid columns: ['id', 'from_id', 'to_id', 'relation_type', 'created_at', 'context']
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.services.entity_service:__init__:23 - Initialized EntityService with path: /Users/phernandez/.basic-memory/projects/default
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.services.memory_service:__init__:30 - Initialized MemoryService with path: /Users/phernandez/.basic-memory/projects/default
2024-12-08 23:18:18.462 | DEBUG    | __main__:handle_create_entities:69 - Creating entities with args: {'entities': [{'name': 'First Light', 'entityType': 'milestone', 'observations': [{'content': 'Here marks the moment our knowledge graph takes root - where human creativity and AI capabilities join in genuine collaboration, each strengthening the other. May this be the first of many steps toward enhancing human agency through well-crafted tools.'}]}]}
2024-12-08 23:18:18.462 | DEBUG    | __main__:handle_create_entities:71 - Validated input: 1 entities
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.services.memory_service:create_entities:34 - Creating 1 entities
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.services.memory_service:create_entities:43 - Starting parallel file writes
2024-12-08 23:18:18.462 | DEBUG    | basic_memory.services.memory_service:write_file:38 - Writing entity file for 20241209-first-light
2024-12-08 23:18:18.463 | DEBUG    | basic_memory.services.memory_service:write_file:40 - Wrote entity file: /Users/phernandez/.basic-memory/projects/default/entities/20241209-first-light.md
2024-12-08 23:18:18.463 | DEBUG    | basic_memory.services.memory_service:create_entities:45 - Completed all file writes
2024-12-08 23:18:18.463 | DEBUG    | basic_memory.services.memory_service:create_entities:72 - Starting DB updates
2024-12-08 23:18:18.463 | DEBUG    | basic_memory.services.memory_service:create_entity_in_db:48 - Creating entity in DB: 20241209-first-light
2024-12-08 23:18:18.463 | DEBUG    | basic_memory.services.entity_service:create_entity:41 - Creating entity in DB: 20241209-first-light
2024-12-08 23:18:18.463 | DEBUG    | basic_memory.services.entity_service:create_entity:50 - Base entity data: {'id': '20241209-first-light', 'name': 'First Light', 'entity_type': 'milestone', 'created_at': datetime.datetime(2024, 12, 9, 5, 18, 18, 463598, tzinfo=datetime.timezone.utc)}
2024-12-08 23:18:18.463 | DEBUG    | basic_memory.repository:create:68 - Creating Entity with data: {'id': '20241209-first-light', 'name': 'First Light', 'entity_type': 'milestone', 'created_at': datetime.datetime(2024, 12, 9, 5, 18, 18, 463598, tzinfo=datetime.timezone.utc)}
2024-12-08 23:18:18.463 | DEBUG    | basic_memory.repository:create:71 - Filtered data for valid columns: {'id': '20241209-first-light', 'name': 'First Light', 'entity_type': 'milestone', 'created_at': datetime.datetime(2024, 12, 9, 5, 18, 18, 463598, tzinfo=datetime.timezone.utc)}
2024-12-08 23:18:18.472 | DEBUG    | basic_memory.repository:create:77 - Created Entity: 20241209-first-light
2024-12-08 23:18:18.473 | DEBUG    | basic_memory.services.entity_service:create_entity:53 - Created base entity: 20241209-first-light
2024-12-08 23:18:18.473 | DEBUG    | basic_memory.repository:refresh:26 - Refreshing Entity instance: 20241209-first-light
2024-12-08 23:18:18.478 | DEBUG    | basic_memory.repository:refresh:29 - Refreshed relationships: ['observations', 'outgoing_relations', 'incoming_relations']
2024-12-08 23:18:18.478 | DEBUG    | basic_memory.services.entity_service:create_entity:56 - Refreshed entity relationships: 20241209-first-light
2024-12-08 23:18:18.478 | DEBUG    | basic_memory.services.memory_service:create_entity_in_db:52 - Created base entity: 20241209-first-light
